WeekYear,CN,T2,T3,T4,T5,T6,T7,Direction
2020-22,-3,-1,-1,4,3,0,1,1
2020-23,0,1,0,0,3,-1,-1,0
2020-24,-1,2,0,1,-4,0,1,0
2020-25,0,-1,1,-1,0,-1,0,1
2020-26,1,3,1,-4,0,-1,-1,1
2020-27,1,0,0,1,-2,0,1,1
2020-28,-2,3,0,2,-2,0,0,1
2020-29,0,1,-1,0,-1,0,0,1
2020-30,0,0,2,0,3,-1,1,1
2020-31,2,10,1,2,-1,2,4,0
2020-32,-4,1,-1,4,2,-3,1,1
2020-33,-2,3,-3,0,0,2,1,1
2020-34,0,4,-3,-2,0,-1,-1,0
2020-35,0,1,-4,2,-2,3,0,0
2020-36,1,1,2,-5,-6,-3,-3,1
2020-37,1,0,0,1,1,0,1,1
2020-38,-1,4,1,2,-2,0,2,0
2020-39,-2,-5,1,0,2,0,0,1
2020-40,0,2,-2,1,-3,1,0,1
2020-41,0,1,0,-1,2,2,3,1
2020-42,1,1,-2,0,1,-1,0,1
2020-43,1,2,2,7,2,-2,3,1
2020-44,-1,-1,6,-4,3,0,2,1
2020-45,0,-2,2,2,7,3,-2,0
2020-46,2,-2,1,4,0,2,-2,1
2020-47,0,5,7,0,0,4,0,0
2020-48,-2,-1,5,-1,-12,0,6,1
2020-49,2,7,-2,0,2,-2,1,0
2020-50,0,0,-1,-3,0,-1,3,1
2020-51,4,-1,1,6,12,-1,5,0
2020-52,-1,-4,3,1,-1,3,7,1
2020-53,4,1,-2,6,1,2,13,0
2021-02,0,-6,6,7,14,3,-1,0
2021-03,-5,-15,7,-1,13,-9,3,0
2021-04,-3,0,4,-6,-8,1,0,1
2021-05,-1,6,-5,-5,6,11,-4,0
2021-06,-6,5,3,7,-1,3,6,0
2021-07,-6,14,8,-3,5,1,-2,1
2021-08,4,0,-1,7,1,6,4,0
2021-09,1,-9,-9,6,-1,-4,-1,0
2021-10,-8,13,-1,7,-5,-1,0,1
2021-11,6,-1,6,6,0,1,6,0
2021-12,-1,-6,-1,1,7,-1,0,0
2021-13,-3,0,-2,1,-8,4,4,1
2021-14,0,3,1,1,-1,1,-2,1
2021-15,0,1,-1,-4,3,1,3,1
2021-16,0,0,6,-2,1,-2,-3,0
2021-17,-8,0,1,-1,-4,-7,1,0
2021-18,0,8,2,0,-4,7,2,0
2021-19,-1,2,-7,6,-1,2,1,0
2021-20,-2,-1,-1,-3,-12,4,-5,0
2021-21,-2,-10,2,-9,1,-6,2,0
2021-22,-14,15,1,3,0,-8,-6,1
2021-23,6,3,-2,5,2,-4,-3,0
2021-24,0,-1,-10,14,0,1,-3,1
2021-25,4,8,1,-4,-4,-4,-1,0
2021-26,-3,-7,2,3,4,-9,0,1
2021-27,4,4,6,-5,-4,0,4,0
2021-28,2,-5,1,2,-5,2,0,0
2021-29,1,-2,-1,0,-5,2,-1,0
2021-30,0,-3,-4,8,1,-1,7,1
2021-31,0,14,-4,3,2,-1,5,0
2021-32,0,-3,-4,4,3,5,1,1
2021-33,1,5,-2,3,-5,5,1,0
2021-34,-2,1,-1,0,0,6,2,0
2021-35,-2,2,-3,2,-4,3,2,0
2021-36,0,-1,-3,3,2,2,-1,1
2021-37,1,3,-10,-1,1,-2,0,1
2021-38,1,-3,5,3,-1,0,2,0
2021-39,-2,-7,-5,3,4,-6,1,1
2021-40,1,0,-4,0,5,10,1,1
2021-41,2,1,2,9,-1,0,1,1
2021-42,1,4,-3,2,1,8,-2,1
2021-43,1,1,3,5,-6,-3,1,0
2021-44,-2,5,-1,-6,4,2,-2,1
2021-45,-1,0,4,-2,-3,0,0,1
2021-46,3,6,1,3,-5,-2,2,0
2021-47,-1,0,-6,0,-4,1,0,0
2021-48,3,-3,0,-1,5,-8,1,1
2021-49,-2,9,-2,1,-2,-3,-12,1
2021-50,2,-1,4,-1,-4,-1,2,0
2021-51,3,-5,-2,1,2,-3,0,1
2021-52,1,-2,6,0,3,2,-1,0
2021-53,-1,3,-7,-1,0,-1,2,0
2022-02,-1,-2,0,-1,-7,-2,-3,1
2022-03,3,-2,3,3,-2,0,1,0
2022-04,-1,-2,-1,2,2,-11,-10,1
2022-05,2,0,5,2,-5,2,2,1
2022-06,1,1,1,-4,-2,10,3,1
2022-07,0,6,-3,3,3,-4,-2,0
2022-08,-1,1,3,-1,-4,-4,0,0
2022-09,-5,1,-2,1,-6,9,1,0
2022-10,-1,6,5,0,-3,-4,-3,0
2022-11,-1,-1,1,8,-7,-1,1,1
2022-12,0,-1,1,3,1,2,1,1
2022-13,-2,0,4,-1,4,1,0,1
2022-14,1,6,0,0,-4,1,0,0
2022-15,0,-2,1,-5,0,-1,-1,0
2022-16,1,-6,-1,3,-3,1,-1,1
